Year,Fuel_Price,Inflation_Rate,Crude_Oil_Price,Consumption,GDP_Growth
1999,1.25,2.2,19.3,18.9,4.7
2000,1.5,3.4,28.2,19.7,4.1
2001,1.46,2.8,23,19.6,1
2002,1.36,1.6,22.8,19.8,1.8
2003,1.59,2.3,27.7,20.1,2.8
2004,1.88,2.7,37.7,20.5,3.8
2005,2.3,3.4,50,20.8,3.5
2006,2.59,3.2,58.3,21,2.9
2007,2.8,2.8,64.2,21.2,1.9
2008,3.27,3.8,91.5,21.5,-0.1
2009,2.35,0.1,53.5,19.8,-2.5
2010,2.78,1.6,71.2,20.2,2.5
2011,3.53,3.1,87,20.5,1.6
2012,3.63,2.1,86.5,20.7,2.2
2013,3.58,1.5,91.1,21,1.8
2014,3.43,1.6,85.6,20.9,2.5
2015,2.52,0.1,48.7,20.7,2.9
2016,2.24,1.3,43.3,20.6,1.6
2017,2.53,2.1,50.8,20.9,2.2
2018,2.72,2.4,64.9,21.1,2.9
2019,2.6,1.8,57,21.2,2.3
2020,2.17,1.2,39.2,19.8,-3.5
2021,2.72,4.7,68.5,20.2,5.7
2022,3.24,6,94.5,20.5,2.1
2023,3.15,3.5,85,20.8,1.8
